date,portfolio_value,top_k_stocks,turnover,transaction_cost,predicted_mean
2025-04-23,188662.06481005094,"['AUROPHARMA', 'ASTRAL', 'WIPRO', 'BSOFT', 'REDINGTON', 'OFSS', 'LTIM', 'BRITANNIA', 'ZENSARTECH', 'GODFRYPHLP', 'ABREL', 'MPHASIS', 'ECLERX', 'CUMMINSIND', 'GILLETTE', 'MARUTI', 'MOTILALOFS', 'ASHOKLEY', 'TORNTPHARM', 'GODREJCP']",1.9000000000000004,0.013184214000000003,0.0374804362654686
2025-04-30,170649.6893744818,"['APOLLOTYRE', 'INDHOTEL', 'IGL', 'DRREDDY', 'ZFCVINDIA', 'BALKRISIND', 'BHARTIARTL', 'KARURVYSYA', 'DLF', 'SCHAEFFLER', 'FORTIS', 'PHOENIXLTD', 'CANFINHOME', 'JBCHEPHARM', 'MARUTI', 'BRIGADE', 'CEATLTD', 'SONATSOFTW', 'PAGEIND', 'CHOLAFIN']",1.9,0.013184214,0.019810300320386887
2025-05-08,192695.17786008917,"['HCLTECH', 'COFORGE', 'ZFCVINDIA', 'SUPREMEIND', 'CRISIL', 'KOTAKBANK', 'KIRLOSBROS', 'ZENSARTECH', 'APARINDS', 'GRASIM', 'CERA', 'WELSPUNLIV', 'KPRMILL', 'CEATLTD', 'ALOKINDS', 'AIAENG', 'TIMKEN', 'LT', 'CANBK', 'CARBORUNIV']",1.8000000000000003,0.012490308000000002,0.018683718517422676
2025-05-15,215104.19119176996,"['HEROMOTOCO', 'IDEA', 'KAJARIACER', 'HCLTECH', 'SUPREMEIND', 'BAJAJHLDNG', 'TATACONSUM', 'TVSMOTOR', 'ZENSARTECH', 'APARINDS', 'KIRLOSENG', 'GRASIM', 'HONAUT', 'ECLERX', 'KEC', 'APOLLOHOSP', 'PGHH', 'AIAENG', 'RKFORGE', 'CARBORUNIV']",1.3,0.009020778,0.047258101403713226
2025-05-22,231166.1718430327,"['BLUEDART', 'GPIL', 'IDEA', 'ASTRAL', 'ZYDUSLIFE', 'UNOMINDA', 'SOLARINDS', 'PFIZER', 'TTML', 'FORTIS', 'BERGEPAINT', 'JUBLPHARMA', 'ITI', 'JBCHEPHARM', 'SCI', 'KEC', 'FINPIPE', 'INDIACEM', 'INDUSINDBK', 'ATUL']",1.8,0.012490308,0.03855804353952408
2025-05-29,239236.32955341737,"['SUNPHARMA', 'GRAPHITE', 'CASTROLIND', 'DEEPAKFERT', 'ASAHIINDIA', 'PIDILITIND', 'KIRLOSENG', 'ITI', 'HONAUT', 'HEG', 'CUMMINSIND', 'WELCORP', 'SUNDARMFIN', 'NAVA', 'INDUSINDBK', 'AIAENG', 'ALKYLAMINE', 'GMDCLTD', 'ANANTRAJ', 'HINDZINC']",1.8,0.012490308,0.027847861871123314
2025-06-05,254585.55962310632,"['LUPIN', 'WOCKPHARMA', 'ZYDUSLIFE', 'DRREDDY', 'JMFINANCIL', 'JKCEMENT', 'SOBHA', 'VOLTAS', 'NAUKRI', 'TRENT', 'ASTRAZEN', 'BERGEPAINT', 'CIPLA', 'WELCORP', 'SRF', 'TRIVENI', 'GMDCLTD', 'MRF', 'HINDZINC', 'GLENMARK']",1.7,0.011796402000000001,0.03713269159197807
2025-06-12,236349.59475314396,"['RADICO', 'LUPIN', 'DRREDDY', 'REDINGTON', 'ELGIEQUIP', 'PFIZER', 'SUNTV', 'ASTRAZEN', 'ZENSARTECH', 'NAVINFLUOR', 'JBCHEPHARM', 'DIVISLAB', 'DCMSHRIRAM', 'APOLLOHOSP', 'AJANTPHARM', 'BAJAJFINSV', 'NAVA', 'SRF', 'TORNTPHARM', 'GLENMARK']",1.5,0.01040859,0.01690380461513996
2025-06-19,231791.38788958188,"['WIPRO', 'DRREDDY', 'CRISIL', 'EICHERMOT', 'ELGIEQUIP', 'BHARTIARTL', 'IPCALAB', 'THERMAX', 'TATACONSUM', 'RELIANCE', 'TVSMOTOR', 'JINDALSAW', 'JSWSTEEL', 'COROMANDEL', 'M&M', 'APOLLOHOSP', 'MARUTI', 'PGHH', 'BIOCON', 'RKFORGE']",1.7000000000000002,0.011796402000000003,0.009247882291674614
2025-06-26,243929.60277132993,"['VEDL', 'BPCL', 'MARICO', 'IOC', 'HINDPETRO', 'SHRIRAMFIN', 'BRITANNIA', 'TATACONSUM', 'INDIANB', 'APARINDS', 'CUB', 'HINDALCO', 'BAJAJFINSV', 'HDFCBANK', 'SHREECEM', 'ALOKINDS', 'MAHSEAMLES', 'MRF', 'JINDALSTEL', 'ULTRACEMCO']",1.9,0.013184214,0.0379108265042305
2025-07-03,242972.50018870333,"['UPL', 'WOCKPHARMA', 'KAJARIACER', 'DRREDDY', 'ZFCVINDIA', 'CRISIL', 'NATCOPHARM', 'IPCALAB', 'BOSCHLTD', 'CCL', 'HONAUT', 'DCMSHRIRAM', 'APOLLOHOSP', 'AJANTPHARM', 'MRPL', 'MOTILALOFS', 'KPRMILL', 'BIOCON', 'BEML', 'BLUESTARCO']",2.0,0.01387812,0.0462970957159996
2025-07-10,255319.28616981924,"['CONCOR', 'KAJARIACER', 'VTL', 'JPPOWER', 'MFSL', 'OLECTRA', 'IIFL', 'BOSCHLTD', 'JBMA', 'SUNDRMFAST', 'KIRLOSENG', 'PRAJIND', 'HEG', 'CERA', 'BALRAMCHIN', 'MARUTI', 'INDUSINDBK', 'RKFORGE', 'CARBORUNIV', 'GLENMARK']",1.7999999999999998,0.012490307999999999,0.020463723689317703
2025-07-17,246583.7678178059,"['UPL', 'KSB', 'KAJARIACER', 'ZFCVINDIA', 'SOBHA', 'BALKRISIND', 'ASAHIINDIA', 'OLECTRA', 'THERMAX', 'TATACONSUM', 'SUNDRMFAST', 'CGPOWER', 'HEG', 'AKZOINDIA', 'GILLETTE', 'PGHH', 'ALOKINDS', 'AIAENG', 'TORNTPHARM', 'PATANJALI']",1.6,0.011102496000000002,0.03263416141271591
2025-07-24,226259.1690365391,"['MOTHERSON', 'DRREDDY', 'SUPREMEIND', 'BANKINDIA', 'OLECTRA', 'IPCALAB', 'RCF', 'INDIANB', 'FORTIS', 'JBMA', 'SUNDRMFAST', 'KIRLOSENG', 'COROMANDEL', 'AKZOINDIA', 'AJANTPHARM', 'CENTURYPLY', 'FACT', 'GLAXO', 'CANBK', 'JINDALSTEL']",1.7000000000000002,0.011796402000000003,0.03806073218584061
2025-07-31,201996.95564640546,"['RADICO', 'JYOTHYLAB', 'GRAPHITE', 'MARICO', 'DABUR', 'HINDUNILVR', 'ELGIEQUIP', 'KARURVYSYA', 'THERMAX', 'JSWSTEEL', 'EMAMILTD', 'CUB', 'HEG', 'GILLETTE', 'NAVA', 'BRIGADE', 'ITC', 'COLPAL', 'ALKYLAMINE', 'GODREJCP']",2.0,0.01387812,0.038298316299915314
2025-08-07,179437.06256425404,"['HEROMOTOCO', 'LUPIN', 'WOCKPHARMA', 'WIPRO', 'ZYDUSLIFE', 'KAJARIACER', 'DRREDDY', 'GRANULES', 'OLECTRA', 'NATCOPHARM', '3MINDIA', 'BHARATFORG', 'ITI', 'TORNTPOWER', 'JBCHEPHARM', 'ECLERX', 'AJANTPHARM', 'SONATSOFTW', 'GMDCLTD', 'TORNTPHARM']",2.0,0.01387812,0.04190501198172569
